entry_id, crystal_growth_procedure
"132L"
"193L","pH 4.3"
"194L","pH 4.3"
"1A2Y","pH 6.5"
"1AKI","pH 4.48"
"1AT5","CRYSTALS WERE PREPARED AT 277K FROM A SOLUTION CONTAINING 20 MG/ML PROTEIN, 7 MM TRI-N-ACETYLCHITOTRIOSE, 25 MG/ML SODIUM CHLORIDE, AND 100 MM ACETATE BUFFER PH 4.2, BY EQUILIBRATING THE SOLUTION AGAINST A RESERVOIR SOLUTION CONTAINING 50 MG/ML SODIUM CHLORIDE AND 100 MM ACETATE BUFFER PH 4.2."
"1AT6","CRYSTALS WERE PREPARED AT 277 K FROM THE DROPLET MIXTURE OF A 20 MG/ML PROTEIN SOLUTION CONTAINING 7 MM TRI-N-ACETYLCHITOTRIOSE (NAG3) AND 50 MM ACETATE BUFFER PH 4.2 WITH EQUAL VOLUME OF A RESERVOIR SOLUTION CONTAINING 2.0 M AMMONIUM FORMATE AND 100 MM N-(2-HYDROXYETHYL)PIPERAZINE-N'-(2-ETHANESULFONIC ACID) (HEPES) BUFFER PH 7.5. PRIOR TO THE DIFFRACTION DATA COLLECTION, THE CRYSTAL WAS SOAKED IN A CRYOPROTECTANT SOLUTION CONTAINING 30 % (W/V) POLYETHYLENE GLYCOL 20,000, 2.2 M AMMONIUM FORMATE, 100 MM HEPES BUFFER PH 7.5, AND 7 MM NAG3 FOR 2 MINUTES AT 277 K."
"1AZF","pH 4.6"
"1B0D","THE CRYSTAL WAS OBTAINED IN PRESENCE OF NAPTS WITH A FINAL PROTEIN CONCENTRATION OF 40.5 MG/ML IN HANGING DROPS USING VAPOR DIFFUSION METHOD. THE EQUILIBRATION AT 291K WAS DONE AGAINST A RESERVOIR SOLUTION CONTAINING 90 MM NAPTS, 50 MM SODIUM ACETATE ADJUSTED AT PH 4.5., vapor diffusion - hanging drop"
"1B2K","THE ISOIONIC PROTEIN HEWL WAS ACIDIFIED BY ADDING OF HI UNTIL THE PH 4.5 WAS REACHED AT 291K WERE 25 MG/ML OF PROTEIN AND 0.07 M OF NAI VERSUS A WELL CONTAINING 0.14 M OF NAI AT PH4.5"
"1BGI","CRYSTALLIZATION WAS PERFORMED BY THE BATCH METHOD AT 310 K. THE SAME WAY AS DESCRIBED BY JOLLES AND BERTHOU (1972)., pH 4.7, batch method"
"1BHZ","PROTEIN WAS CRYSTALLIZED FROM SODIUM CHLORIDE SOLUTIONS"
"1BVK","pH 6.5"
"1BVX","HEWL CRYSTALS WERE GROWN IN A GELLED PROTEIN SOLUTION WITH AGAROSE (SIGMA, TYPE VII: OF LOW GELLING TEMPERATURE), 4 % MPD IN ACETATE BUFFER (PH 4.5), THE PRECIPITATING AGENT SOL MPD IN BUFFER. THE GLASS TUBE USED WAS 6 CM TALL WITH AN IN CRYSTALS OF TYPICAL DIMENSIONS $SIM$0.7 $TIMES$ 0.6 $TIM, grown in gelled protein solution with agarose"
"1BWH","CRYSTALLISATION TOOK PLACE AS A GROUND CONTROL TO HEWL CRYSTALLISATION IN THE EUROPEAN SPACE AGENCY (ESA) ADVANCED PROTEIN CRYSTALLISATION FACILITY (APCF) ONBOARD THE NASA SPACE SHUTTLE'S LIFE AND MICROGRAVITY SPACELAB (LMS) MISSION (STS-78). A SOLUTION OF 21 MG OF HEN EGG WHITE LYSOZYME (3 X CRYSTALLIZED, DIALYSED AND LYOPHILIZED POWDER OF CHICKEN EGG WHITE LYSOZYME SUPPLIED BY SIGMA, L-6876 BATCH NUMBER, LOT 53H7145) DISSOLVED IN 250 UL 0.04 M ACETATE BUFFER (PH 4.7) WAS USED TO FILL THE PROTEIN CHAMBER (188 UL). THE SALT CHAMBERS (541 UL) WERE FILLED WITH 1.35 M NACL AND THE BUFFER CHAMBER (59 UL) WITH 0.04 M ACETATE BUFFER (PH 4.7). SODIUM AZIDE WAS ALSO ADDED TO THE PROTEIN AND BUFFER SOLUTION AS AN ANTI-FUNGAL AGENT (1.92 MG PER 188 UL). CRYSTALLISATION TOOK PLACE AT 20+/-1 C."
